orbital_period,transit_duration,planet_radius,star_temp,star_radius,label
0.848483947,1.4451,32.11,5941.0,0.936,-1
11.99097576,5.7401,37.47,6110.0,1.072,-1
53.5292702,5.668,2.28,4736.0,0.708,1
0.393726813,2.95,24.17,6277.0,1.031,-1
2.757584622,0.9267,1.01,3683.0,0.424,0
0.928310036,1.1899,1.16,4109.0,0.602,1
13.48457668,5.0197,3.39,6198.0,1.324,1
31.8841473,6.122,3.7,5779.0,0.974,1
16.15811112,6.049,86.13,5619.0,0.874,0
67.69213907,51.349,175.98,5355.0,10.703,-1
12.06222962,2.0584,1.62,5547.0,0.933,1
9.93146307,5.678,2.41,5782.0,1.22,1
21.85362905,3.439,1.75,5830.0,0.876,1
8.19345065,5.234,1.74,6021.0,1.458,1
19.97867,10.168,6.85,9651.0,1.895,-1
41.8059544,6.057,2.02,5907.0,0.973,1
15.45158184,2.406,2.02,7839.0,2.069,-1
89.698168533,5.5418,102.08,6214.0,1.583,-1
1.187352427,4.999,67.35,6424.0,1.489,0
3.012476582,3.1424,65.25,8601.0,2.031,-1
4.77800306,2.7361,1.85,5192.0,0.873,1
7.814839231,3.0122,5.33,5887.0,0.931,-1
29.7452499,22.695,3.6,5334.0,1.004,-1
5.32667299,3.4045,2.26,5831.0,0.921,1
0.741057213,1.05299,26.67,5496.0,0.776,-1
2.988085455,3.68,21.81,5497.0,0.809,-1
2.783883492,2.4546,67.17,6028.0,2.147,-1
0.393727296,3.02,23.05,5628.0,0.808,-1
8.17242644,3.902,3.29,5705.0,0.905,0
1295.362215,28.297,57.82,5609.0,1.048,0
13.0607936,3.215,1.45,5830.0,0.876,1
4.2989201,2.747,2.12,5300.0,0.986,0
25.9518461,14.581,22.32,5372.0,0.796,-1
25.9518536,14.755,24.6,5198.0,0.742,-1
5.68628739,17.573,4.5,6052.0,0.956,-1
15.663886949,2.4775,27.36,5996.0,2.221,-1
4.020628573,4.4085,16.94,6210.0,1.033,-1
5.714817603,3.14126,9.29,5695.0,0.842,0
185.02288222,4.87326,49.82,6025.0,1.367,-1
2.897432135,3.1793,14.35,5970.0,2.994,-1
8.70420525,2.9385,2.86,5074.0,0.863,1
8.1280933,3.727,1.39,5831.0,0.921,1
2.83668931,3.031,1.19,5831.0,0.921,0
0.974868896,1.6191,1.16,5487.0,0.832,1
4.89721006,1.812,1.48,5093.0,0.847,1
2.757794163,2.7644,20.05,5747.0,0.891,-1
1.914158508,3.2917,13.63,6289.0,1.118,-1
3.98216698,2.396,3.32,5570.0,1.548,-1
0.643794198,1.5662,19.51,5958.0,0.83,-1
16.08832318,5.731,3.42,6157.0,1.33,1
10.30067919,4.885,2.2,6157.0,1.33,1
35.6757453,7.381,3.02,6157.0,1.33,1
161.78832712,5.31,36.14,6018.0,1.212,-1
16.56806842,4.2647,2.54,4987.0,0.716,1
47.3329299,2.708,2.18,4987.0,0.716,1
0.856895349,1.3078,0.82,6021.0,0.873,-1
40.8065333,13.135,3.71,6207.0,2.097,1
2.46697039,1.6345,1.56,5074.0,0.863,1
2.624234833,1.3874,5.11,5340.0,0.899,0
6.61836309,3.6813,2.98,5529.0,1.294,1
107.7214092,8.042,4.75,5529.0,1.294,1
92.77779,6.64,1.92,5888.0,1.019,0
5.251916208,4.9095,37.15,5542.0,0.872,-1
9.673958488,3.2641,2.63,5192.0,0.873,1
100.3039228,8.702,29.55,5055.0,0.772,-1
0.986620248,3.9722,43.98,6243.0,1.385,-1
14.12847677,3.685,2.73,5779.0,0.974,1
48.6478543,5.464,4.14,5779.0,0.974,1
8.39842977,6.344,2.0,6309.0,1.044,1
8.63847391,5.4566,5.99,5684.0,3.046,1
422.917678,31.274,5.89,5796.0,1.444,0
140.10765,18.503,3.42,6207.0,2.097,1
3.4815917,1.8069,1.17,5405.0,1.022,1
8.360616221,7.5385,40.35,5463.0,2.445,-1
1.838514968,2.7391,4.86,5751.0,0.94,-1
35.61760233,8.4559,5.17,5123.0,0.779,1
1.09206833,1.8596,1.29,5639.0,0.859,-1
10.12805158,3.517,1.95,5676.0,0.82,1
1.613001111,2.394,1.25,5580.0,1.205,-1
3.770551475,3.8077,12.05,6322.0,1.075,1
1.343767797,1.9405,18.66,6324.0,2.312,0
29.12436474,3.4209,15.25,4457.0,0.481,-1
31.82814583,2.917,35.8,5908.0,0.92,-1
3.629442796,5.63,3.28,6506.0,1.217,-1
0.553261874,0.8875,97.36,5679.0,3.142,0
5.72812616,2.0295,1.38,3968.0,0.548,1
